orientations: 9, n_components: 50
n_neighbors: 28, accuracy train: 0.7068422559404524, accuracy val: 0.6682991985752449
n_neighbors: 29, accuracy train: 0.7071285427998855, accuracy val: 0.6665182546749777
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7070347284060552
----------------------------------------------------------------------------------------------------------------------------
orientations: 36, n_components: 500
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6540516473731077
n_neighbors: 2, accuracy train: 0.8100009542895314, accuracy val: 0.6130899376669635
n_neighbors: 3, accuracy train: 0.8134363966027293, accuracy val: 0.6495992876224399
n_neighbors: 4, accuracy train: 0.7873842923943124, accuracy val: 0.6500445235975066
n_neighbors: 5, accuracy train: 0.776600820688997, accuracy val: 0.6531611754229741
n_neighbors: 6, accuracy train: 0.7685847886248688, accuracy val: 0.661620658949243
n_neighbors: 7, accuracy train: 0.7579921748258421, accuracy val: 0.6669634906500446
n_neighbors: 8, accuracy train: 0.7534115850749117, accuracy val: 0.6651825467497774
n_neighbors: 9, accuracy train: 0.7454909819639278, accuracy val: 0.672306322350846
n_neighbors: 10, accuracy train: 0.7418646817444413, accuracy val: 0.6812110418521816
n_neighbors: 11, accuracy train: 0.7380475236186659, accuracy val: 0.6772039180765805
n_neighbors: 12, accuracy train: 0.7353755129306232, accuracy val: 0.6821015138023152
n_neighbors: 13, accuracy train: 0.7351846550243344, accuracy val: 0.6754229741763135
n_neighbors: 14, accuracy train: 0.7340395075866017, accuracy val: 0.6763134461264471
n_neighbors: 15, accuracy train: 0.7275503387727836, accuracy val: 0.6758682101513802
n_neighbors: 16, accuracy train: 0.7291726309762382, accuracy val: 0.6718610863757791
n_neighbors: 17, accuracy train: 0.7264051913350511, accuracy val: 0.6709706144256455
n_neighbors: 18, accuracy train: 0.7260234755224735, accuracy val: 0.6754229741763135
n_neighbors: 19, accuracy train: 0.7210611699589655, accuracy val: 0.680320569902048
n_neighbors: 20, accuracy train: 0.7203931672869549, accuracy val: 0.6780943900267141
n_neighbors: 21, accuracy train: 0.7192480198492223, accuracy val: 0.6798753339269813
n_neighbors: 22, accuracy train: 0.7151445748640137, accuracy val: 0.6745325022261799
n_neighbors: 23, accuracy train: 0.7143811432388587, accuracy val: 0.6789848619768477
n_neighbors: 24, accuracy train: 0.7115182746445271, accuracy val: 0.6772039180765805
n_neighbors: 25, accuracy train: 0.7127588510354042, accuracy val: 0.6794300979519146
n_neighbors: 26, accuracy train: 0.7132359958011261, accuracy val: 0.6807658058771149
n_neighbors: 27, accuracy train: 0.7117091325508159, accuracy val: 0.6789848619768477
n_neighbors: 28, accuracy train: 0.7105639851130833, accuracy val: 0.6812110418521816
n_neighbors: 29, accuracy train: 0.709514266628495, accuracy val: 0.6772039180765805
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.6642920747996438
----------------------------------------------------------------------------------------------------------------------------
================================================================================================================================
